signal_date,line,symbol,name,rank_score,score_detail,entry_date,exit_date,completed,ret,year,entry_close_calc,variant,exit_reason
2021-01-04,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-05,2021-03-04,True,0.2447665056360708,2021,1.242,baseline,original
2021-01-05,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-06,2021-03-04,True,0.2457695406929894,2021,1.241,baseline,original
2021-01-06,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-07,2021-03-04,True,0.2202052091554855,2021,1.267,baseline,original
2021-01-07,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-08,2021-03-04,True,0.2154088050314466,2021,1.272,baseline,original
2021-01-08,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-11,2021-03-04,True,0.2548701298701299,2021,1.232,baseline,original
2021-01-11,C,510880,红利ETF,0.4,hit=2/5;selected_score=0.5241558570254087,2021-01-12,2021-03-16,True,0.0158554572271385,2021,2.712,baseline,original
2021-01-12,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-13,2021-03-04,True,0.2397754611066558,2021,1.247,baseline,original
2021-01-13,C,512400,有色金属ETF,0.5,hit=2/4;selected_score=0.9106525611216468,2021-01-14,2021-03-18,True,0.0331753554502372,2021,1.055,baseline,original
2021-01-14,C,512400,有色金属ETF,0.75,hit=3/4;selected_score=0.9106525611216468,2021-01-15,2021-03-19,True,0.0,2021,1.065,baseline,original
2021-01-15,C,512400,有色金属ETF,0.75,hit=3/4;selected_score=0.9106525611216468,2021-01-18,2021-03-22,True,-0.0147737765466297,2021,1.083,baseline,original
2021-01-18,C,512400,有色金属ETF,0.5,hit=2/4;selected_score=0.9106525611216468,2021-01-19,2021-03-23,True,-0.0191387559808612,2021,1.045,baseline,original
2021-01-19,C,512400,有色金属ETF,0.75,hit=3/4;selected_score=0.9106525611216468,2021-01-20,2021-03-24,True,-0.0865116279069767,2021,1.075,baseline,original
2021-01-20,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-21,2021-03-25,True,0.0267891312667432,2021,2.613,baseline,original
2021-01-21,C,510880,红利ETF,0.4,hit=2/5;selected_score=0.5241558570254087,2021-01-22,2021-03-26,True,0.0486674391657009,2021,2.589,baseline,original
2021-01-22,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-25,2021-03-29,True,0.077133907595928,2021,2.554,baseline,original
2021-01-25,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-26,2021-03-30,True,0.081399921352733,2021,2.543,baseline,original
2021-01-26,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-27,2021-03-31,True,0.0790715971675846,2021,2.542,baseline,original
2021-01-27,C,512660,军工ETF,0.6,hit=3/5;selected_score=0.6127133230906227,2021-01-28,2021-04-01,True,-0.1484184914841849,2021,1.233,baseline,original
2021-01-28,C,159930,能源ETF,1.0,hit=4/4;selected_score=0.9106525611216468,2021-01-29,2021-04-02,True,0.0753532182103611,2021,0.637,baseline,original
2021-01-29,C,515210,钢铁ETF,1.0,hit=4/4;selected_score=0.9106525611216468,2021-02-01,2021-03-04,True,0.2548701298701299,2021,1.232,baseline,original
2021-02-01,C,515210,钢铁ETF,1.0,hit=4/4;selected_score=0.9106525611216468,2021-02-02,2021-03-04,True,0.2447665056360708,2021,1.242,baseline,original
2021-02-02,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-03,2021-04-08,True,-0.0929432013769362,2021,1.162,baseline,original
2021-02-03,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-04,2021-04-09,True,-0.074106364428945,2021,1.147,baseline,original
2021-02-04,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-05,2021-04-12,True,-0.0837043633125557,2021,1.123,baseline,original
2021-02-05,C,512950,央企改革ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-08,2021-04-13,True,-0.0301204819277107,2021,1.162,baseline,original
2021-02-08,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-09,2021-04-14,True,-0.1327212020033389,2021,1.198,baseline,original
2021-02-09,C,512660,军工ETF,0.6,hit=3/5;selected_score=0.6127133230906227,2021-02-10,2021-04-15,True,-0.1272114574557709,2021,1.187,baseline,original
2021-02-10,C,512660,军工ETF,0.6,hit=3/5;selected_score=0.6127133230906227,2021-02-18,2021-04-16,True,-0.1187446988973707,2021,1.179,baseline,original
2021-02-18,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-19,2021-04-19,True,-0.112141652613828,2021,1.186,baseline,original
2021-02-19,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-22,2021-04-20,True,-0.0832602979842243,2021,1.141,baseline,original
2021-02-22,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-23,2021-04-21,True,-0.1195928753180661,2021,1.179,baseline,original
2021-02-23,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-24,2021-04-22,True,-0.1173469387755101,2021,1.176,baseline,original
